,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Annural Khalid,Hopeless,Hopeless,1Uv0J1t3syWBWi0LZ1JH1D,0.707,0.553,8,-10.695,1,0.404,5.73e-06,0.12,0.298,144.991,231724,4
1,Rob Grant,Lost At Sea,Lost at Sea,6N7NO9Z1Hi6la8dqG3Aoew,0.142,0.188,3,-13.704,0,0.0344,0.67,0.118,0.114,167.87,187907,4
2,Shareh,I Am,Blessed,5vBwiTXIme6RUMdHR0tvuC,0.907,0.586,1,-7.111,1,0.15,1.87e-05,0.116,0.296,95.982,152506,4
3,girl in red,Too Much,Too Much,36FZL9SzRh5BhtG1cUyGWr,0.53,0.609,5,-5.977,0,0.0625,7.75e-06,0.108,0.378,161.973,183473,4
4,Mitraz,Saajna,Saajna,5NwOSRnBI7c6teq6qhSFmG,0.447,0.46,6,-5.96,1,0.0327,7.27e-06,0.141,0.201,198.116,176970,4
5,Krooked Kings,Catacombs,Catacombs,0DwxNhEatnqf4yp8WhO7em,0.717,0.394,1,-12.7,0,0.0288,0.16,0.138,0.217,97.991,173199,4
6,Noah Kahan,Homesick (with Sam Fender),Homesick (with Sam Fender),2l7UudWZ44l1WbHx6ANod9,0.465,0.63,6,-6.442,1,0.0398,5.3e-06,0.339,0.389,169.833,194417,4
7,ellis,obliterate me,obliterate me,7qRMiZxKOdihhkdlJthqxP,0.381,0.362,2,-10.263,1,0.0309,0.000736,0.337,0.257,160.087,233202,3
8,Arsalan Hasan,Adhooray,Adhooray,0vKEVmVD7ed0WSx4QSxNgO,0.61,0.381,0,-12.463,0,0.0552,0.0,0.135,0.207,166.028,153253,4
9,Hasan Raheem,Hungama,Hungama,3v2vP8uet5H9VFbrvXPQWX,0.749,0.519,10,-10.63,0,0.117,0.000948,0.108,0.664,105.034,179429,4
10,Abdullah Siddiqui,Heterotopia,Come Thru,5EBCRL7xDZztH4WV5RL5N4,0.672,0.441,0,-9.388,0,0.0749,0.0,0.108,0.46,146.023,228500,4
11,Rovalio,Shuru Karein,Shuru Karein,3yqoD9SYDfwvNEdU2NEpFx,0.586,0.402,0,-10.913,0,0.0301,0.903,0.135,0.155,150.012,146892,4
12,Maanu,2 MINUTES // SMOG CITY,2 MINUTES // SMOG CITY,2nm8qZvJwIsudW5eKS6pUB,0.611,0.533,2,-8.374,0,0.0527,0.516,0.0893,0.426,97.963,233117,4
13,Amna Riaz,no thoughts: head empty,Do Hazaar Bees,0Qdk23RC0vqmRAKofy4fOW,0.395,0.0272,11,-25.623,1,0.0454,0.0778,0.113,0.267,94.981,259233,4
14,Amna Riaz,no thoughts: head empty,Dabbay,2FxikwNzvmHEIGCFn9e6kV,0.194,0.284,1,-12.002,1,0.0339,0.000801,0.0969,0.142,173.112,198857,4
15,Amna Riaz,no thoughts: head empty,Hold On,2acU3Vc0EIiqToLy06O6Z7,0.205,0.0836,10,-24.736,1,0.0365,0.949,0.128,0.25,142.804,176667,4
16,Zoha Zuberi,mahiya,mahiya,1lnvZbdqcmybMQD5LIWxNB,0.616,0.452,8,-12.017,1,0.056,0.000769,0.177,0.112,99.998,204000,4
17,Amna Riaz,Dil Meray,Dil Meray,4CUoUbyhYYuITBTVr7vxfA,0.33,0.261,1,-10.613,1,0.0277,7.76e-05,0.353,0.157,143.979,234167,4
18,Amna Riaz,Bachpan,Bachpan,1FWjCuVn0NslGCQdFXqCyH,0.641,0.134,8,-15.259,1,0.0323,0.0,0.094,0.275,109.815,215753,4
19,Maanu,kidhar?,kidhar?,4T4zLKjpso1xQAq0osYzV3,0.772,0.529,6,-7.647,0,0.181,0.0,0.127,0.667,93.002,214194,4
20,Nehaal Naseem,Beqadra,Beqadra,4LIQacKPUjto8rVlVuY09O,0.5,0.35,0,-10.738,1,0.372,0.0,0.208,0.488,76.738,183782,4
21,sombr,i don't know you anymore,i don't know you anymore,5FCMqNc9fodjQRIXbG7Ld1,0.358,0.504,8,-7.056,0,0.0293,0.0258,0.103,0.172,132.242,227757,4
22,BETWEEN FRIENDS,Really good cry,Really good cry,3wTgyWjqIU4tg25T7qqm9l,0.579,0.863,7,-5.537,0,0.11,2.9e-05,0.0874,0.76,170.137,114917,4
23,Maanu,MAHI // AVAY,MAHI // AVAY,4klMH7SD2ypbWvV8GxR452,0.766,0.424,6,-10.073,1,0.0469,0.000923,0.104,0.344,95.01,154553,4
24,Lykke Li,so sad so sexy,sex money feelings die,0g4fzRkbLeCDUCoe5iUOcf,0.789,0.534,8,-6.347,0,0.0709,3.42e-06,0.0645,0.631,134.055,139840,4
25,Asim Azhar,Mein (Original Motion Picture Soundtrack),Mein (Original Motion Picture Soundtrack),54chAr0cMNDC81EuDnFIgL,0.547,0.42,4,-10.672,0,0.0421,0.000589,0.0885,0.117,150.02,326400,3
26,Childish Gambino,Because the Internet,3005,5cc9Zbfp9u10sfJeKZ3h16,0.664,0.447,6,-7.272,0,0.289,0.0,0.091,0.659,83.138,234215,4
