,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,EDEN,i think you think too much of me,rock + roll,32hc0TYud2KzDkE0QggvHO,0.393,0.505,0,-7.011,0,0.0996,0.00682,0.21,0.391,64.491,296053,4
1,Lauren Aquilina,Fools,King,0zhzkkSXFj60Y5fzb2j9hU,0.693,0.205,4,-9.403,1,0.0276,0.0,0.103,0.236,82.44,238000,4
2,You Me At Six,Night People,Take on the World,036UzEmDiFdBup61c4a1qG,0.552,0.531,2,-6.466,1,0.0313,5.4e-06,0.0997,0.118,104.04,271307,4
3,shy martin,Lose You Too,Lose You Too,5JkUNbYSn06ghlmu0NRUMf,0.445,0.357,7,-9.163,1,0.0445,0.0,0.356,0.159,147.062,186463,4
4,Saint Claire,Smoked out of Heaven,Smoked out of Heaven,2p6ep0Z0LSxljfA52ltt9p,0.389,0.252,4,-10.163,1,0.0409,5.46e-05,0.1,0.318,85.037,245491,1
5,Wayfarers,Swimming in Stars,Swimming in Stars,1pSHI1qhYz6KsPjzeaamRM,0.564,0.683,6,-6.04,1,0.0336,0.0,0.0713,0.193,115.055,198261,4
6,Jacob Lee,Sine Qua Non,Heartstrings,0PwJDwFeyN49B5syuxy0GZ,0.559,0.641,7,-7.622,0,0.033,0.0,0.0886,0.324,110.053,222927,4
7,Hozier,Almost (Sweet Music),Almost (Sweet Music),2e9N4vHYVUwSwRorBzsZXE,0.427,0.689,7,-5.589,1,0.135,1.69e-06,0.203,0.706,88.875,217480,4
8,Strings,Dhaani,Mera Bichraa Yaar,2fxej3sTBAIyrJfObGrDHI,0.687,0.633,7,-7.638,1,0.0333,0.0175,0.0874,0.61,109.985,291840,4
9,Ben Woodward,Don't Leave (Remix),Don't Leave (Remix),4GDSXO4fqrUfDgb24JavqL,0.568,0.523,10,-7.93,1,0.0518,0.0,0.215,0.33,121.882,174098,4
10,Chester See,If We Were Vampires,If We Were Vampires,3klcbGg0LN2KO2wN5tqdZk,0.677,0.294,5,-10.158,1,0.0317,0.0,0.378,0.549,96.896,192990,4
11,Crywolf,Dysphoria,Stomach It,1p7ec4hYOgmNw0lElbSOFh,0.599,0.313,11,-10.531,1,0.0386,6.8e-05,0.417,0.0692,121.986,346661,4
12,Chase Holfelder,Let's Hurt Tonight,Let's Hurt Tonight,7tIT3GIY0wGOb8i1kcnilp,0.34,0.205,5,-7.72,1,0.0476,0.0,0.321,0.288,179.927,191980,3
13,EDEN,vertigo,wings,2dua8jWJY9wZ0y5Y5I7bhG,0.348,0.464,9,-8.177,1,0.0589,4.44e-05,0.294,0.0676,82.034,177168,4
14,Elizabeth Grace,Meteor Shower,Meteor Shower,7c66XZdiRRMsERTkwua7B1,0.419,0.5,4,-5.134,1,0.0268,0.0,0.104,0.249,144.776,269334,4
15,Imagine Dragons,Smoke + Mirrors (Deluxe),Dream,5pryXvaRTif60GCf1e4rmc,0.379,0.513,1,-7.724,0,0.0492,3.24e-05,0.069,0.108,142.067,258000,4
16,Bonjr,motionbliss,interstitial space,4r5p4gLTHTFBxUL6hxZZBS,0.494,0.39,7,-13.545,1,0.0305,0.934,0.088,0.108,103.275,192379,4
17,Your Favorite Color,Heartache - EP,Their Way,44ARTxEXyCajc7yAq1hCU9,0.458,0.585,6,-7.289,1,0.0313,0.00325,0.151,0.248,159.872,279040,4
