,Unnamed: 0,track_id,artist,album,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,analysis_url,artist_pop,genres,id,track_href,track_pop,type,uri
0,0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,acoustic,https://api.spotify.com/v1/audio-analysis/5SuOikwiRyPMVoIQDJUgSV,62.0,j-acoustic j-pop japanese_singer-songwriter,5SuOikwiRyPMVoIQDJUgSV,https://api.spotify.com/v1/tracks/5SuOikwiRyPMVoIQDJUgSV,69,audio_features,spotify:track:5SuOikwiRyPMVoIQDJUgSV
1,1,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,acoustic,https://api.spotify.com/v1/audio-analysis/4qPNDBW1i3p13qLCt0Ki3A,46.0,acoustic_chill,4qPNDBW1i3p13qLCt0Ki3A,https://api.spotify.com/v1/tracks/4qPNDBW1i3p13qLCt0Ki3A,49,audio_features,spotify:track:4qPNDBW1i3p13qLCt0Ki3A
2,2,1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,210826,False,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,4,acoustic,https://api.spotify.com/v1/audio-analysis/1iJBSr7s7jYXzM8EGcbK5b,58.0,acoustic_pop ectofolk lilith neo_mellow,1iJBSr7s7jYXzM8EGcbK5b,https://api.spotify.com/v1/tracks/1iJBSr7s7jYXzM8EGcbK5b,54,audio_features,spotify:track:1iJBSr7s7jYXzM8EGcbK5b
3,3,6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,False,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3,acoustic,https://api.spotify.com/v1/audio-analysis/6lfxq3CG4xtTiEg7opyCyx,59.0,acoustic_pop viral_pop,6lfxq3CG4xtTiEg7opyCyx,https://api.spotify.com/v1/tracks/6lfxq3CG4xtTiEg7opyCyx,70,audio_features,spotify:track:6lfxq3CG4xtTiEg7opyCyx
4,4,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,82,198853,False,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4,acoustic,https://api.spotify.com/v1/audio-analysis/5vjLSffimiIP26QG5WcN2K,62.0,acoustic_pop,5vjLSffimiIP26QG5WcN2K,https://api.spotify.com/v1/tracks/5vjLSffimiIP26QG5WcN2K,82,audio_features,spotify:track:5vjLSffimiIP26QG5WcN2K
5,5,01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,False,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,4,acoustic,https://api.spotify.com/v1/audio-analysis/01MVOl9KtVTNfFiBU9I7dc,45.0,acoustic_pop neo_mellow,01MVOl9KtVTNfFiBU9I7dc,https://api.spotify.com/v1/tracks/01MVOl9KtVTNfFiBU9I7dc,0,audio_features,spotify:track:01MVOl9KtVTNfFiBU9I7dc
6,6,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N,60.0,neo_mellow piano_rock pop_rock viral_pop,6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N,76,audio_features,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N
7,7,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,https://api.spotify.com/v1/audio-analysis/1EzrEOXmMH3G43AXT1y7pA,72.0,acoustic_pop dance_pop neo_mellow pop,1EzrEOXmMH3G43AXT1y7pA,https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA,81,audio_features,spotify:track:1EzrEOXmMH3G43AXT1y7pA
8,8,0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,acoustic,https://api.spotify.com/v1/audio-analysis/0IktbUcnAGrvD03AWnz3Q8,72.0,acoustic_pop dance_pop neo_mellow pop,0IktbUcnAGrvD03AWnz3Q8,https://api.spotify.com/v1/tracks/0IktbUcnAGrvD03AWnz3Q8,74,audio_features,spotify:track:0IktbUcnAGrvD03AWnz3Q8
9,9,7k9GuJYLp2AzqokyEdwEw2,Ross Copperman,Hunger,Hunger,56,205594,False,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4,acoustic,https://api.spotify.com/v1/audio-analysis/7k9GuJYLp2AzqokyEdwEw2,42.0,acoustic_pop piano_rock,7k9GuJYLp2AzqokyEdwEw2,https://api.spotify.com/v1/tracks/7k9GuJYLp2AzqokyEdwEw2,59,audio_features,spotify:track:7k9GuJYLp2AzqokyEdwEw2
